x,y
0,1
5,1.00013
10,1.00008
15,1.00015
20,0.998736
25,0.9821
30,0.957525
35,0.92995
40,0.904979
45,0.882329
50,0.862554
55,0.846245
60,0.832874
65,0.822466
70,0.814175
75,0.807598
80,0.802245
85,0.797988
90,0.794608
95,0.791934
100,0.789831
105,0.788173
110,0.786869
115,0.78578
120,0.784926
125,0.784312
130,0.783789
135,0.783338
140,0.782988
145,0.782666
150,0.782464
155,0.782289
160,0.782167
165,0.782091
170,0.782042
175,0.781978
180,0.781931
185,0.781896
190,0.781796
195,0.781837
200,0.781831
205,0.781818
210,0.781824
215,0.781808
220,0.781782
225,0.781813
230,0.781861
235,0.781884
240,0.781889
245,0.781898
250,0.781919
255,0.781947
260,0.781913
265,0.782007
270,0.78207
275,0.782105
280,0.782091
285,0.782143
290,0.782172
295,0.782189
300,0.782243
305,0.782285
310,0.782289
315,0.782326
320,0.782369
325,0.782386
330,0.78246
335,0.782472
340,0.782444
345,0.782447
350,0.782507
355,0.782496
360,0.782552
365,0.782602
370,0.782633
375,0.78268
380,0.782738
385,0.782704
390,0.782755
395,0.782764
400,0.782745