year,natural_gas_total,manufactured_gas,natural_gas_agricultural,natural_gas_electrical,natural_gas_industrial,natural_gas_residential,natural_gas_transportation,transmission_pipeline_mileage,,total mileage
1880,0.0,15.0,0.0,0.0,0.0,0.0,0.0,,,
1881,16.1,,0.0,0.0,11.3,4.8,0.0,,,
1882,31.5,,0.0,0.0,22.0,9.4,0.0,,,
1883,46.1,,0.0,0.0,32.3,13.8,0.0,,,
1884,60.0,,0.0,0.0,42.0,18.0,0.0,,,
1885,73.3,,0.0,0.0,51.3,22.0,0.0,,,
1886,86.0,,0.0,0.0,60.2,25.8,0.0,,,
1887,98.2,,0.0,0.0,68.7,29.5,0.0,,,
1888,109.9,,0.0,0.0,76.9,33.0,0.0,,,
1889,121.0,,0.0,0.0,84.7,36.3,0.0,,,
1890,131.7,24.6,0.0,0.0,92.2,39.5,0.0,,,
1891,128.9,,0.0,0.0,90.2,38.7,0.0,,,
1892,126.2,,0.0,0.0,88.3,37.8,0.0,,,
1893,123.5,,0.0,0.0,86.5,37.1,0.0,,,
1894,121.0,,0.0,0.0,84.7,36.3,0.0,,,
1895,118.6,,0.0,0.0,83.0,35.6,0.0,,,
1896,116.2,,0.0,0.0,81.4,34.9,0.0,,,
1897,114.0,,0.0,0.0,79.8,34.2,0.0,,,
1898,111.8,,0.0,0.0,78.3,33.5,0.0,,,
1899,109.7,,0.0,0.0,76.8,32.9,0.0,,,24973.0
1900,107.7,46.0,0.0,0.0,75.4,32.3,0.0,,,
1901,97.9,,0.0,0.3,68.5,29.1,0.0,,,
1902,109.8,,0.0,0.6,76.9,32.3,0.0,,,
1903,125.1,,0.0,1.1,87.6,36.4,0.0,,,
1904,132.0,,0.0,1.5,92.4,38.0,0.0,,,
1905,161.1,,0.0,2.3,112.8,46.0,0.0,,,
1906,158.0,,0.0,2.6,108.8,46.6,0.0,,,
1907,162.4,,0.0,3.1,109.8,49.5,0.0,,,
1908,157.3,,0.0,3.4,104.4,49.5,0.0,,,
1909,184.5,,0.0,4.5,120.2,59.8,0.0,,,
1910,191.2,59.8,0.0,5.1,122.3,63.9,0.0,,,
1911,189.4,,0.0,5.0,120.7,63.7,0.0,,,
1912,204.3,,0.0,5.4,129.7,69.2,0.0,,,
1913,207.5,,0.0,5.5,131.3,70.7,0.0,,,
1914,207.0,,0.0,5.4,130.5,71.1,0.0,,,
1915,216.8,92.0,0.0,5.7,136.2,74.9,0.0,,,
1916,252.0,,0.0,6.7,157.6,87.7,0.0,,,
1917,262.6,115.2,0.0,7.0,163.5,92.1,0.0,,,
1918,238.3,93.0,0.0,6.4,147.7,84.2,0.0,,,
1919,243.5,99.5,0.0,6.6,150.2,86.7,0.0,,,
1920,260.2,98.8,0.0,7.2,159.8,93.3,0.0,,,
1921,211.7,103.3,0.0,6.3,135.0,70.4,0.0,,,
1922,240.3,109.3,0.0,7.7,158.9,73.7,0.0,,,
1923,312.1,110.3,0.0,10.7,213.8,87.6,0.0,,,
1924,347.1,112.0,0.0,12.7,246.0,88.5,0.0,,,
1925,356.1,120.8,0.0,13.8,260.7,81.5,0.0,,,
1926,387.7,122.0,0.0,16.8,284.8,86.1,0.0,,,
1927,421.0,117.5,0.0,20.2,310.3,90.5,0.0,,,
1928,451.2,119.2,0.0,23.7,333.6,93.9,0.0,,,
1929,546.1,117.4,0.0,31.2,405.1,109.8,0.0,57000,,
1930,547.7,109.2,0.0,33.8,407.6,106.3,0.0,,,
1931,467.2,94.3,0.0,29.2,345.2,92.8,0.0,65000,,
1932,429.7,87.2,0.0,27.2,315.3,87.2,0.0,,,
1933,427.9,89.0,0.0,27.4,311.8,88.8,0.0,,,
1934,483.6,87.6,0.0,31.3,349.8,102.5,0.0,,,
1935,520.8,83.4,0.0,34.1,374.0,112.7,0.0,,,
1936,585.9,82.9,0.0,38.8,420.2,127.0,0.0,,,
1937,647.4,81.0,0.0,43.3,463.6,140.5,0.0,,,
1938,612.4,82.1,0.0,41.4,437.9,133.1,0.0,,,
1939,653.9,88.0,0.0,44.6,466.9,142.4,0.0,,,
1940,697.6,89.5,0.0,48.1,497.4,152.1,0.0,,,
1941,726.5,94.5,0.0,52.2,516.4,157.9,0.0,,,
1942,781.3,97.2,0.0,58.4,553.6,169.3,0.0,,,
1943,861.2,99.0,0.0,66.9,608.2,186.0,0.0,,,
1944,923.3,100.1,0.0,74.5,650.0,198.8,0.0,,,
1945,967.6,101.6,0.0,80.9,679.0,207.7,0.0,,,
1946,950.2,106.4,0.0,84.1,648.4,213.1,4.7,,,
1947,1030.6,103.4,0.0,96.2,683.1,241.1,10.2,,,
1948,1138.5,95.2,0.0,111.8,732.5,277.4,16.8,,,
1949,1180.8,91.8,0.0,127.8,715.5,311.3,26.2,,,
1950,1312.1,84.9,0.0,143.1,779.5,360.9,28.6,86434,,
1951,1523.5,67.6,0.0,170.9,875.8,433.8,43.1,,,
1952,1604.2,57.9,0.0,200.2,888.3,470.1,45.6,,,
1953,1652.4,48.6,0.0,223.7,899.5,479.4,49.8,,,
1954,1710.5,49.4,0.0,247.7,886.9,526.9,49.0,,,
1955,1815.3,44.1,0.0,240.8,948.4,574.9,51.2,110101,,
1956,1905.5,,2.7,254.2,963.4,624.5,60.7,,,
1957,1983.7,,5.2,269.2,988.9,660.0,60.3,,,
1958,2041.2,,7.7,272.0,989.1,710.5,61.9,,,
1959,2205.8,,10.2,317.3,1052.8,757.5,68.1,,,
1960,2294.9,,12.5,330.8,1094.3,790.8,66.6,183700,,
1961,2355.8,,14.7,344.3,1109.7,815.9,71.2,,,
1962,2464.1,,16.9,365.2,1140.8,870.2,71.0,,,
1963,2547.9,,19.1,391.1,1174.7,885.8,77.3,,,
1964,2667.1,,21.2,418.2,1219.9,929.4,78.4,,,
1965,2716.8,,23.2,412.7,1241.3,950.6,89.0,,,
1966,2894.5,,23.8,459.2,1303.8,1013.5,94.2,,,
1967,3023.2,,24.1,477.5,1331.0,1090.5,100.1,,,
1968,3204.0,,24.3,541.3,1414.5,1122.2,101.6,,,
1969,3415.4,,24.7,593.9,1500.4,1188.9,107.4,,,
1970,3558.2,,24.9,661.8,1531.9,1218.0,121.6,252200,,
1971,3622.2,,25.3,660.8,1569.3,1243.3,123.4,,,
1972,3620.1,,23.7,651.4,1552.7,1266.8,125.5,,,
1973,3555.2,,25.1,592.1,1616.0,1204.7,117.3,,,
1974,3401.0,,17.0,550.9,1548.9,1176.9,107.2,,,
1975,3091.9,,20.7,502.2,1301.7,1175.1,92.2,,,
1976,3122.5,,25.8,483.9,1319.4,1207.7,85.8,,,
1977,3028.4,,17.9,499.1,1294.7,1134.1,82.5,,,
1978,3007.9,,26.0,495.8,1258.3,1146.7,81.1,,,
1979,3073.7,,18.6,537.4,1253.1,1173.7,91.0,,,
1980,2986.2,,13.7,561.4,1214.0,1101.4,95.7,266500,,
1981,2885.9,,11.9,549.6,1182.1,1046.2,96.0,,,
1982,2656.4,,14.0,482.9,1007.4,1063.7,88.4,,,
1983,2469.1,,10.4,429.3,959.9,997.2,72.3,,,
1984,2613.9,,10.8,457.1,1040.4,1028.2,77.3,284954,,
1985,2495.1,,7.6,444.6,981.8,988.0,73.1,290464,,
1986,2315.4,,8.6,375.1,917.9,944.2,69.6,289958,,
1987,2440.3,,5.0,405.5,1001.3,954.5,74.0,291857,,
1988,2527.9,,6.6,371.0,1041.6,1022.2,86.5,283817,,
1989,2652.7,,3.8,423.5,1094.2,1043.1,88.1,287926,,
1990,2619.2,,6.4,434.8,1125.8,961.1,91.1,291925,,
1991,2640.8,,9.9,436.8,1124.5,987.5,82.1,293862,,
1992,2691.5,,6.3,446.6,1157.6,1001.7,79.4,291468,,
1993,2722.3,,7.6,444.6,1159.5,1027.6,83.0,293263,,
1994,2753.7,,8.6,494.6,1152.4,1007.9,90.1,301545,,
1995,2838.0,,10.7,529.0,1195.2,1012.1,91.0,296947,,
1996,2856.0,,9.3,467.8,1221.0,1066.3,91.6,284672,,
1997,2839.4,,8.0,495.3,1211.6,1028.7,95.8,294370,,
1998,2759.7,,7.8,556.1,1177.1,938.0,80.8,302709,,
1999,2735.8,,10.4,576.3,1114.3,953.8,81.0,296059,,
2000,2814.6,,9.0,616.4,1118.1,991.4,79.7,298957,,
2001,2669.7,,6.8,634.9,1012.4,938.2,77.3,289994,,
2002,2726.8,,7.2,662.4,1020.7,955.2,81.3,302999,,
2003,2622.5,,8.4,593.1,971.1,977.4,72.4,301493,,
2004,2609.8,,6.8,628.0,970.7,935.4,68.8,303001,,
2005,2546.5,,7.1,671.6,888.6,908.5,70.7,300468,,
2006,2485.2,,7.0,705.4,875.0,827.7,70.1,300324,,
2007,2620.5,,7.6,769.3,889.6,880.2,73.7,301066,,
2008,2617.1,,10.3,744.1,879.6,907.0,76.2,303181,,
2009,2548.9,,9.0,759.9,821.3,880.6,78.0,304560,,
2010,2652.0,,8.5,807.8,887.4,870.4,77.8,304808,,
2011,2673.4,,10.2,821.5,901.0,861.8,78.8,305059,,
2012,2775.8,,9.5,983.7,931.1,768.2,83.2,303382,,
2013,2832.0,,10.0,879.4,958.3,890.2,94.0,302869,,
2014,2872.2,,11.6,872.3,981.3,927.0,79.9,301824,,
2015,2935.5,,8.9,1028.7,975.2,844.9,77.8,301166,,
2016,2937.1,,9.4,1060.4,987.5,801.2,78.5,300353,,
2017,2883.0,,10.6,977.5,1005.5,807.2,82.3,300735,,
2018,3185.6,,9.0,1110.7,1064.3,903.1,98.6,301626,,
2019,3286.2,,9.8,1185.2,1074.4,903.1,113.6,302338,,
2020,3272.3,,9.8,1275.9,1048.9,826.2,111.5,301671,,
2021,3217.3,,9.7,1224.7,1047.3,825.4,110.1,301527,,